CODIGOINT;ltMix;EAN;CODIGOUNI;DESCRICAO
7708852;S;7896090700769;UN;ALCOOL COPERALCOOL LAVANDA 46 1LT
7708854;S;7896064205658;UN;PANETONE CASA DORO CHOCOLATE 400G
7708855;S;7891150051966;UN;PICOLE KIBON CORNETTO CHOCO MIX 90ML
7708886;S;7898185414247;UN;CREME DENTAL DC GEL LUNA COM FLUOR 100G
7708895;S;7898142862883;UN;CHOCOLATE ARCOR BUTTER TOFFEES AVELA 40G
7708896;S;7898142863330;UN;CHOCOLATE ARCOR BUTTER TOFFEES AMARGO37G
7708901;S;7891224905140;UN;SAND HAVAIANA TOP FASHION PTO 35 36
7708902;S;7891224905157;UN;SAND HAVAIANA TOP FASHION PTO 37 38
7708908;S;7896504306501;UN;REQUEIJAO SANTA CLARA TRADICIONAL 400GR
7708927;S;7898132980726;UN;SHAMPOO BIO EXTRATUS UMECTANTE 250G
7708928;S;7898132980603;UN;SHAMPOO BIO EXTRATUS MAIS LISO 350ML
7708929;S;7898132980764;UN;CONDICIONADOR BIO EXTRATUS UMECTANTE 250
7708930;S;7898132980610;UN;CONDICIONADOR BIO EXTRATUS + LISO 250ML
7708932;S;7898132980641;UN;MASCARA BIO EXTRATUS MAIS LISO 250GR
7708933;S;7898132980696;UN;FINALIZADOR BIO EXTRATUS UMECTANTE 150GR
7708934;S;7898132980672;UN;FINALIZADOR BIO EXTRATUS M LISO SPR100GR
7708938;S;7891150067004;UN;LAVA ROUPA LIQ COMFORT FIBER  SHT 900ML
7708942;S;7891150066748;UN;CREME PENTEAR SEDA BOOM CRESPISSIMO400ML
7708944;S;7891150066755;UN;CREME PENTEAR SEDA BOOM DESCOLORI 400ML
